Run,SetpointC,Time_min,Wafer,Slot,Pt,MeasPos,FurnPos,Thk_A,GOF,Recipe,MeasDate,MetrologyOK,Flagged
900C,900,60,A00,0,1,T,Bottom,748.3,0.98784,SiO2 on Si DWP,2026-02-10,1,0
900C,900,60,A00,0,2,C,Center,905.0,0.99229,SiO2 on Si DWP,2026-02-10,1,0
900C,900,60,A00,0,3,B,Top,969.9,0.99289,SiO2 on Si DWP,2026-02-10,1,0
900C,900,60,A00,0,4,L,Right,912.7,0.99213,SiO2 on Si DWP,2026-02-10,1,0
900C,900,60,A00,0,5,R,Left,903.9,0.99183,SiO2 on Si DWP,2026-02-10,1,0
900C,900,60,A01,1,1,T,Bottom,720.5,0.98633,SiO2 on Si DWP,2026-02-10,1,0
900C,900,60,A01,1,2,C,Center,858.3,0.99125,SiO2 on Si DWP,2026-02-10,1,0
900C,900,60,A01,1,3,B,Top,896.2,0.99191,SiO2 on Si DWP,2026-02-10,1,0
900C,900,60,A01,1,4,L,Right,859.5,0.99172,SiO2 on Si DWP,2026-02-10,1,0
900C,900,60,A01,1,5,R,Left,879.3,0.99115,SiO2 on Si DWP,2026-02-10,1,0
900C,900,60,A02,2,1,T,Bottom,598.4,0.90649,SiO2 on Si DWP,2026-02-10,1,0
900C,900,60,A02,2,2,C,Center,896.6,0.99159,SiO2 on Si DWP,2026-02-10,1,0
900C,900,60,A02,2,3,B,Top,965.8,0.99291,SiO2 on Si DWP,2026-02-10,1,0
900C,900,60,A02,2,4,L,Right,902.5,0.99218,SiO2 on Si DWP,2026-02-10,1,0
900C,900,60,A02,2,5,R,Left,837.6,0.99083,SiO2 on Si DWP,2026-02-10,1,0
900C,900,60,A03,3,1,T,Bottom,857.5,0.99134,SiO2 on Si DWP,2026-02-10,1,0
900C,900,60,A03,3,2,C,Center,944.5,0.99275,SiO2 on Si DWP,2026-02-10,1,0
900C,900,60,A03,3,3,B,Top,955.5,0.99308,SiO2 on Si DWP,2026-02-10,1,0
900C,900,60,A03,3,4,L,Right,889.3,0.99102,SiO2 on Si DWP,2026-02-10,1,0
900C,900,60,A03,3,5,R,Left,919.3,0.99244,SiO2 on Si DWP,2026-02-10,1,0
900C,900,60,A04,4,1,T,Bottom,682.2,0.98821,SiO2 on Si DWP,2026-02-10,1,0
