Run,Slot,mean,std,min,max,NU_halfrange_pct,NU_1sigma_pct,Bottom,Center,Left,Right,Top,V_TopMinusBottom_A,V_pct,H_LeftMinusRight_A,Target_A,Resid_A,Resid_pct,Flagged
1100C,4,4225.7,25.79,4181.1,4244.6,0.75,0.61,4181.1,4227.1,4244.6,4234.9,4240.8,59.7,1.41,9.7,6421.14,-2195.44,-34.19,False
1100C,5,4207.96,29.39,4164.3,4236.6,0.86,0.7,4164.3,4196.7,4232.4,4209.8,4236.6,72.3,1.72,22.6,6421.14,-2213.18,-34.47,False
1100C,6,4155.22,19.6,4125.1,4175.9,0.61,0.47,4125.1,4149.8,4168.2,4157.1,4175.9,50.8,1.22,11.1,6421.14,-2265.92,-35.29,False
1100C,7,4155.52,20.83,4134.7,4189.0,0.65,0.5,4134.7,4142.3,4157.5,4154.1,4189.0,54.3,1.31,3.4,6421.14,-2265.62,-35.28,False
1100C,8,4174.84,24.3,4134.5,4194.6,0.72,0.58,4134.5,4190.7,4170.8,4183.6,4194.6,60.1,1.44,-12.8,6421.14,-2246.3,-34.98,False
1100C,9,4131.78,24.03,4097.1,4158.0,0.74,0.58,4097.1,4119.3,4147.0,4137.5,4158.0,60.9,1.47,9.5,6421.14,-2289.36,-35.65,False
1100C,10,4138.24,15.39,4124.2,4162.1,0.46,0.37,4124.2,4126.1,4143.3,4135.5,4162.1,37.9,0.92,7.8,6421.14,-2282.9,-35.55,False
1100C,11,4101.36,22.21,4073.5,4127.3,0.66,0.54,4073.5,4088.7,4120.0,4097.3,4127.3,53.8,1.31,22.7,6421.14,-2319.78,-36.13,False
1100C,12,4128.0,24.54,4105.3,4155.9,0.61,0.59,4152.0,4105.3,4120.9,4105.9,4155.9,3.9,0.09,15.0,6421.14,-2293.14,-35.71,False
1100C,13,4135.06,46.43,4072.4,4200.2,1.55,1.12,4072.4,4118.1,4147.8,4136.8,4200.2,127.8,3.09,11.0,6421.14,-2286.08,-35.6,False
1100C,14,4094.06,37.28,4044.3,4141.9,1.19,0.91,4044.3,4089.1,4116.8,4078.2,4141.9,97.6,2.38,38.6,6421.14,-2327.08,-36.24,False
1100C,15,4337.66,195.71,4124.0,4583.9,5.3,4.51,4124.0,4237.9,4239.5,4503.0,4583.9,459.9,10.6,-263.5,6421.14,-2083.48,-32.45,True
900C,0,887.96,82.73,748.3,969.9,12.48,9.32,748.3,905.0,903.9,912.7,969.9,221.6,24.96,-8.8,1352.9,-464.94,-34.37,False
900C,1,842.76,70.11,720.5,896.2,10.42,8.32,720.5,858.3,879.3,859.5,896.2,175.7,20.85,19.8,1352.9,-510.14,-37.71,False
900C,2,840.18,142.58,598.4,965.8,21.86,16.97,598.4,896.6,837.6,902.5,965.8,367.4,43.73,-64.9,1352.9,-512.72,-37.9,False
900C,3,913.22,40.25,857.5,955.5,5.37,4.41,857.5,944.5,919.3,889.3,955.5,98.0,10.73,30.0,1352.9,-439.68,-32.5,False
900C,4,843.18,92.25,682.2,902.9,13.09,10.94,682.2,890.1,849.4,891.3,902.9,220.7,26.17,-41.9,1352.9,-509.72,-37.68,False
900C,5,1081.22,189.34,796.2,1254.7,21.2,17.51,796.2,1254.7,1066.7,1034.9,1253.6,457.4,42.3,31.8,1352.9,-271.68,-20.08,True
900C,6,911.32,110.27,731.2,1010.7,15.33,12.1,731.2,978.5,888.8,947.4,1010.7,279.5,30.67,-58.6,1352.9,-441.58,-32.64,False
900C,7,823.68,118.5,639.0,947.2,18.71,14.39,639.0,825.4,803.2,947.2,903.6,264.6,32.12,-144.0,1352.9,-529.22,-39.12,False
900C,12,777.2,52.44,705.6,851.6,9.39,6.75,705.6,780.2,761.8,786.8,851.6,146.0,18.79,-25.0,1352.9,-575.7,-42.55,False
900C,13,838.94,88.29,721.6,934.4,12.68,10.52,721.6,902.8,777.1,858.8,934.4,212.8,25.37,-81.7,1352.9,-513.96,-37.99,False
900C,14,834.98,68.51,746.5,914.0,10.03,8.2,746.5,863.5,782.4,868.5,914.0,167.5,20.06,-86.1,1352.9,-517.92,-38.28,False
900C,15,1254.9,69.22,1169.9,1330.3,6.39,5.52,1202.4,1314.0,1169.9,1330.3,1257.9,55.5,4.42,-160.4,1352.9,-98.0,-7.24,True
